B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B11,B12,label
1109.0,4919.0,4352.5,1667.0,1849.0,2084.0,1948.5,2135.5,2309.0,2931.0,2921.5,2438.0,tambang
1074.5,5512.5,4641.5,1414.0,1546.0,1843.0,2076.0,2251.5,2580.5,2660.0,3145.0,2495.5,tambang
1055.5,4057.5,3122.5,1236.0,1413.0,1569.0,1502.5,1886.5,2217.5,2497.0,2674.0,2363.0,tambang
931.0,4243.5,3718.5,1475.0,1584.0,1818.0,1664.5,2039.5,2324.5,2715.5,2815.5,2368.5,tambang
1120.0,4273.0,3586.0,1262.0,1545.0,1717.0,1740.5,2097.5,2352.5,2533.5,2820.5,2308.0,tambang
890.0,4419.5,3552.5,995.0,1174.0,1258.0,1767.5,2098.0,2388.0,2461.0,2947.0,2364.5,tambang
1196.0,4691.0,3947.0,1307.0,1459.0,1676.0,1837.5,1937.0,2177.5,2376.0,2672.0,2292.0,tambang
1482.5,5145.0,4389.0,1573.0,1800.0,2056.0,2179.0,2294.0,2551.5,2800.5,3084.0,2659.5,tambang
1542.0,6016.0,5401.5,1938.0,2140.0,2335.0,2609.0,2752.5,3000.5,3128.5,3706.5,3048.5,tambang
1291.5,4468.0,3940.5,1109.0,1371.0,1554.0,1726.5,1903.5,2111.5,2145.5,2586.0,2487.0,tambang
1175.5,4249.5,3589.0,1330.0,1412.0,1666.0,1607.5,1764.5,1951.0,2380.0,2384.5,2188.0,tambang
1869.5,7145.5,6327.0,2318.0,2615.0,2941.0,3141.0,3266.0,3765.5,4137.0,4455.0,3511.5,tambang
1532.0,5800.0,5147.0,2281.0,2429.0,2684.0,2550.5,2810.0,3045.5,3605.0,3565.5,3207.5,tambang
1700.0,4814.5,4064.5,1694.0,1743.0,1840.0,2031.5,2127.5,2306.5,2434.5,2742.5,2334.0,tambang
1332.0,4268.0,3862.0,1248.0,1335.0,1460.0,1582.0,1739.5,1920.0,1949.5,2456.0,2032.5,tambang
1477.0,4230.5,3691.5,1409.0,1524.0,1754.0,1776.0,1879.0,2061.5,2231.0,2481.5,2316.5,tambang
2846.0,4790.5,4266.5,2659.0,2659.0,2721.0,3001.0,3018.5,3113.5,3139.5,3412.0,5757.0,tambang
2391.5,3752.5,3137.0,1923.0,2141.0,2283.0,2631.5,2694.5,2784.5,2517.5,2991.5,5287.0,tambang
2495.0,4271.5,3729.0,2432.5,2429.5,2525.0,2861.0,2864.0,2936.0,2967.5,3173.0,5353.0,tambang
1638.5,5336.5,4664.5,1786.0,1879.0,1994.0,2118.5,2227.0,2426.5,2611.0,2939.5,2525.5,tambang
2219.5,4347.5,3866.5,2165.0,2254.0,2355.0,2388.0,2459.5,2632.0,2756.0,2923.0,4952.5,tambang
977.5,3806.0,3219.0,1293.0,1475.0,1629.0,1740.5,1901.0,2051.5,2252.0,2500.0,1836.0,tambang
1430.5,5408.5,4735.0,1851.0,1879.0,1951.0,1927.5,2048.5,2275.5,2634.5,2798.0,2257.5,tambang
1337.5,4733.0,4095.5,1570.0,1626.0,1680.0,1718.0,1846.0,2025.0,2283.5,2514.5,2103.0,tambang
398.5,2009.0,1594.0,477.0,606.5,655.5,673.5,801.5,920.0,1235.0,1181.0,1769.5,tambang
1055.0,3320.0,2619.5,1172.0,1122.0,1119.0,1286.5,1482.5,1657.5,2012.0,1997.5,1953.0,tambang
1251.0,4878.5,4134.0,1219.0,1347.0,1415.0,1606.5,1729.0,1909.0,2111.0,2420.0,2106.0,tambang
1354.0,4940.5,4286.0,1498.0,1554.0,1636.0,1698.5,1796.0,2029.5,2337.5,2540.5,2208.5,tambang
